cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
1950,1299,Kim Ltd,Assimilated hybrid intranet,6300.00,5629.00,failed,55,US,USD,2020-11-14,2021-04-09,cat05,scat07
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200.00,10295.00,successful,98,US,USD,2020-11-11,2021-11-06,cat02,scat08
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200.00,18829.00,failed,200,US,USD,2021-11-14,2022-01-02,cat02,scat08
505,4495,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200.00,38414.00,failed,452,US,USD,2021-10-25,2021-12-16,cat03,scat09
1245,4269,Hines Inc,Cross-platform systemic adapter,1700.00,11041.00,successful,100,US,USD,2021-08-20,2021-12-22,cat06,scat010
2550,2226,Cochran-Nguyen,Seamless 4thgeneration methodology,84600.00,134845.00,successful,1249,US,USD,2020-04-12,2021-03-24,cat05,scat011
875,1558,Johnson-Gould,Exclusive needs-based adapter,9100.00,6089.00,canceled,135,US,USD,2021-03-24,2022-01-27,cat04,scat04
2283,2307,Perez-Hess,Down-sized cohesive archive,62500.00,30331.00,failed,674,US,USD,2021-10-12,2021-11-17,cat04,scat04
118,2900,"Reeves, Thompson and Richardson",Proactive composite alliance,131800.00,147936.00,successful,1396,US,USD,2020-04-12,2021-04-09,cat05,scat07
711,5695,Simmons-Reynolds,Re-engineered intangible definition,94000.00,38533.00,failed,558,US,USD,2021-03-14,2021-04-29,cat04,scat04
1747,5708,Collier Inc,Enhanced dynamic definition,59100.00,75690.00,successful,890,US,USD,2020-07-06,2021-08-04,cat04,scat04
1825,1663,Gray-Jenkins,Devolved next generation adapter,4500.00,14942.00,successful,142,GB,GBP,2021-07-23,2021-09-12,cat05,scat05
1019,3605,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400.00,104257.00,successful,2673,US,USD,2021-05-01,2021-10-01,cat03,scat09
821,4678,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500.00,11904.00,successful,163,US,USD,2020-10-09,2021-05-23,cat07,scat012
2653,2251,Spencer-Bates,Optional responsive customer loyalty,107500.00,51814.00,canceled,1480,US,USD,2020-11-20,2021-07-27,cat04,scat04
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000.00,1599.00,failed,15,US,USD,2021-01-08,2021-10-15,cat02,scat02
325,3715,"Campbell, Brown and Powell",Synchronized global task-force,130800.00,137635.00,successful,2220,US,USD,2020-12-23,2021-12-23,cat04,scat04
1345,4242,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900.00,150965.00,successful,1606,CH,CHF,2020-11-06,2021-08-27,cat05,scat013
2303,4326,Clark-Cooke,Down-sized analyzing challenge,9000.00,14455.00,successful,129,US,USD,2020-10-28,2021-02-15,cat05,scat011
2224,5560,Schroeder Ltd,Progressive needs-based focus group,3500.00,10850.00,successful,226,GB,GBP,2020-11-25,2021-02-05,cat07,scat012
1173,4002,Jackson PLC,Ergonomic 6thgeneration success,101000.00,87676.00,failed,2307,IT,EUR,2021-02-21,2021-11-26,cat05,scat05
210,3813,"Blair, Collins and Carter",Exclusive interactive approach,50200.00,189666.00,successful,5419,US,USD,2021-04-04,2021-12-09,cat04,scat04
1546,5336,Maldonado and Sons,Reverse-engineered asynchronous archive,9300.00,14025.00,successful,165,US,USD,2021-01-26,2021-12-10,cat05,scat05
2871,4994,Mitchell and Sons,Synergized intangible challenge,125500.00,188628.00,successful,1965,DK,DKK,2021-03-16,2021-03-25,cat05,scat07
2034,1471,Jackson-Lewis,Monitored multi-state encryption,700.00,1101.00,successful,16,US,USD,2021-04-07,2021-11-26,cat04,scat04
2677,4482,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100.00,11339.00,successful,107,US,USD,2020-11-20,2021-10-18,cat06,scat014
1865,3241,Maldonado-Gonzalez,Digitized client-driven database,3100.00,10085.00,successful,134,US,USD,2021-08-23,2022-01-10,cat08,scat015
170,3477,Kim-Rice,Organized bi-directional function,9900.00,5027.00,failed,88,DK,DKK,2021-04-14,2021-05-01,cat04,scat04
462,2265,"Garcia, Garcia and Lopez",Reduced stable middleware,8800.00,14878.00,successful,198,US,USD,2020-11-18,2021-03-18,cat03,scat09
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600.00,11924.00,successful,111,IT,EUR,2021-03-17,2021-07-08,cat02,scat02
1175,2288,Werner-Bryant,Virtual uniform frame,1800.00,7991.00,successful,222,US,USD,2020-06-20,2021-01-30,cat01,scat01
2301,4064,Schmitt-Mendoza,Profound explicit paradigm,90200.00,167717.00,successful,6212,US,USD,2020-11-14,2021-07-06,cat06,scat016
91,1294,Reid-Mccullough,Visionary real-time groupware,1600.00,10541.00,successful,98,DK,DKK,2020-11-25,2021-03-01,cat06,scat014
87,5008,Woods-Clark,Networked tertiary Graphical User Interface,9500.00,4530.00,failed,48,US,USD,2021-01-18,2021-03-20,cat04,scat04
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.00,4247.00,successful,92,US,USD,2021-05-23,2021-09-23,cat02,scat02
1711,3263,Bennett and Sons,Function-based multi-state software,1500.00,7129.00,successful,149,US,USD,2020-12-18,2021-06-27,cat04,scat04
2294,5631,Lamb Inc,Optimized leadingedge concept,33300.00,128862.00,successful,2431,US,USD,2021-02-22,2021-11-10,cat04,scat04
2389,2851,Casey-Kelly,Sharable holistic interface,7200.00,13653.00,successful,303,US,USD,2021-01-25,2022-01-30,cat02,scat02
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100.00,2.00,failed,1,IT,EUR,2021-10-08,2021-11-03,cat02,scat017
1213,1664,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100.00,145243.00,failed,1467,GB,GBP,2020-09-07,2021-07-29,cat03,scat09
29,5027,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200.00,2459.00,failed,75,US,USD,2021-03-12,2022-01-05,cat04,scat04
2309,3070,Smith-Jones,Reverse-engineered static concept,8800.00,12356.00,successful,209,US,USD,2021-10-14,2021-12-24,cat05,scat07
2101,4248,Roy PLC,Multi-channeled neutral customer loyalty,6000.00,5392.00,failed,120,US,USD,2021-03-30,2021-05-24,cat03,scat09
1057,2034,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600.00,11746.00,successful,131,US,USD,2021-09-29,2021-11-29,cat02,scat018
2655,4085,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000.00,11493.00,successful,164,US,USD,2021-03-03,2021-05-22,cat03,scat09
202,3569,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900.00,6243.00,successful,201,US,USD,2021-07-23,2021-12-04,cat07,scat012
2025,3889,Anderson-Perez,Expanded 3rdgeneration strategy,2700.00,6132.00,successful,211,US,USD,2021-02-09,2021-06-11,cat04,scat04
2395,3136,"Wright, Fox and Marks",Assimilated real-time support,1400.00,3851.00,successful,128,US,USD,2020-12-10,2021-03-07,cat04,scat04
1418,2103,Crawford-Peters,User-centric regional database,94200.00,135997.00,successful,1600,CA,CAD,2020-10-20,2021-08-24,cat04,scat04
1905,2329,Romero-Hoffman,Open-source zero administration complexity,199200.00,184750.00,failed,2253,CA,CAD,2021-06-15,2021-10-26,cat04,scat04
1969,3325,Sparks-West,Organized incremental standardization,2000.00,14452.00,successful,249,US,USD,2021-08-19,2021-11-21,cat03,scat03
2430,3131,"Baker, Morgan and Brown",Assimilated didactic open system,4700.00,557.00,failed,5,US,USD,2021-06-25,2021-07-16,cat04,scat04
1291,4995,Mosley-Gilbert,Vision-oriented logistical intranet,2800.00,2734.00,failed,38,US,USD,2021-05-21,2021-09-23,cat03,scat03
1934,3631,Berry-Boyer,Mandatory incremental projection,6100.00,14405.00,successful,236,US,USD,2021-02-23,2021-11-20,cat04,scat04
1225,5373,Sanders-Allen,Grass-roots needs-based encryption,2900.00,1307.00,failed,12,US,USD,2021-10-05,2021-11-06,cat04,scat04
1363,3126,Lopez Inc,Team-oriented 6thgeneration middleware,72600.00,117892.00,successful,4065,GB,GBP,2020-11-03,2021-09-24,cat03,scat09
963,2194,Moreno-Turner,Inverse multi-tasking installation,5700.00,14508.00,successful,246,IT,EUR,2020-08-10,2021-02-07,cat04,scat04
1486,2906,Jones-Watson,Switchable disintermediate moderator,7900.00,1901.00,canceled,17,US,USD,2021-06-27,2022-01-17,cat04,scat04
676,2611,Barker Inc,Re-engineered 24/7 task-force,128000.00,158389.00,successful,2475,IT,EUR,2021-08-08,2022-01-30,cat04,scat04
2137,2374,"Tate, Bass and House",Organic object-oriented budgetary management,6000.00,6484.00,successful,76,US,USD,2021-03-19,2021-06-05,cat04,scat04
2656,3254,"Hampton, Lewis and Ray",Seamless coherent parallelism,600.00,4022.00,successful,54,US,USD,2021-07-27,2021-11-30,cat05,scat011
1556,3571,Collins-Goodman,Cross-platform even-keeled initiative,1400.00,9253.00,successful,88,US,USD,2020-05-11,2021-03-09,cat02,scat018
747,2812,Davis-Michael,Progressive tertiary framework,3900.00,4776.00,successful,85,GB,GBP,2021-06-29,2021-08-27,cat02,scat017
60,3961,"White, Torres and Bishop",Multi-layered dynamic protocol,9700.00,14606.00,successful,170,US,USD,2021-02-25,2021-03-31,cat08,scat015
2459,3872,"Martin, Conway and Larsen",Horizontal next generation function,122900.00,95993.00,failed,1684,US,USD,2020-12-13,2021-12-26,cat04,scat04
1903,4736,Acevedo-Huffman,Pre-emptive impactful model,9500.00,4460.00,failed,56,US,USD,2021-06-17,2021-08-27,cat05,scat011
2003,5119,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500.00,13536.00,successful,330,US,USD,2020-12-24,2021-04-16,cat06,scat019
2885,5725,Soto LLC,Triple-buffered reciprocal project,57800.00,40228.00,failed,838,US,USD,2021-06-13,2021-11-18,cat04,scat04
2067,4037,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100.00,7012.00,successful,127,US,USD,2021-06-26,2021-10-21,cat07,scat012
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800.00,37857.00,successful,411,US,USD,2020-11-01,2021-03-04,cat02,scat02
2909,3283,Porter-George,Reactive content-based framework,1000.00,14973.00,successful,180,GB,GBP,2020-10-09,2021-11-11,cat07,scat012
1239,6181,Fitzgerald PLC,Realigned user-facing concept,106400.00,39996.00,failed,1000,US,USD,2021-06-25,2021-08-08,cat02,scat06
2480,3251,Cisneros-Burton,Public-key zero tolerance orchestration,31400.00,41564.00,successful,374,US,USD,2021-07-03,2021-10-05,cat03,scat09
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.00,6430.00,successful,71,AU,AUD,2021-05-29,2021-08-20,cat02,scat08
2030,2988,Davis-Smith,Organic motivating firmware,7400.00,12405.00,successful,203,US,USD,2021-05-16,2021-09-12,cat04,scat04
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,198500.00,123040.00,failed,1482,AU,AUD,2020-08-23,2021-03-24,cat02,scat02
2821,2085,Clark Group,Grass-roots fault-tolerant policy,4800.00,12516.00,successful,113,US,USD,2020-07-21,2021-02-22,cat06,scat019
2468,1672,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400.00,8588.00,successful,96,US,USD,2020-07-23,2021-01-18,cat04,scat04
656,4426,Kramer Group,Synergistic explicit parallelism,7800.00,6132.00,failed,106,US,USD,2021-10-09,2021-11-15,cat04,scat04
2791,3211,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300.00,74688.00,failed,679,IT,EUR,2020-07-03,2021-06-17,cat06,scat019
1527,3190,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000.00,51775.00,successful,498,CH,CHF,2020-08-05,2021-05-15,cat07,scat012
1891,2081,Hall and Sons,Pre-emptive radical architecture,108800.00,65877.00,canceled,610,US,USD,2020-11-22,2021-12-05,cat04,scat04
580,3185,Hanson Inc,Grass-roots web-enabled contingency,2900.00,8807.00,successful,180,GB,GBP,2021-03-14,2021-08-29,cat03,scat03
682,5044,Sanchez LLC,Stand-alone system-worthy standardization,900.00,1017.00,successful,27,US,USD,2021-08-06,2021-09-05,cat05,scat05
3097,1883,Howard Ltd,Down-sized systematic policy,69700.00,151513.00,successful,2331,US,USD,2021-10-18,2021-12-26,cat04,scat04
873,2067,Stewart LLC,Cloned bi-directional architecture,1300.00,12047.00,successful,113,US,USD,2020-11-29,2021-06-11,cat01,scat01
1668,4604,"Arias, Allen and Miller",Seamless transitional portal,97800.00,32951.00,failed,1220,AU,AUD,2021-02-14,2021-11-03,cat07,scat012
3076,3203,Baker-Morris,Fully-configurable motivating approach,7600.00,14951.00,successful,164,US,USD,2020-08-23,2021-02-06,cat04,scat04
3146,5758,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100.00,1.00,failed,1,US,USD,2021-06-22,2021-10-23,cat04,scat04
253,5755,Douglas LLC,Reduced heuristic moratorium,900.00,9193.00,successful,164,US,USD,2021-10-06,2022-01-27,cat02,scat06
3088,5150,Garcia Inc,Front-line web-enabled model,3700.00,10422.00,successful,336,US,USD,2020-09-18,2021-08-18,cat03,scat09
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,10000.00,2461.00,failed,37,IT,EUR,2021-05-10,2021-08-03,cat02,scat06
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200.00,170623.00,successful,1917,US,USD,2021-07-09,2021-10-15,cat02,scat08
478,4865,Charles-Johnson,Total fresh-thinking system engine,6800.00,9829.00,successful,95,US,USD,2020-10-08,2021-07-23,cat03,scat03
1061,2862,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900.00,14006.00,successful,147,US,USD,2021-03-05,2021-05-19,cat04,scat04
2957,6070,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500.00,6527.00,successful,86,US,USD,2021-05-07,2021-12-28,cat04,scat04
2015,5300,Decker Inc,Universal encompassing implementation,1500.00,8929.00,successful,83,US,USD,2020-10-14,2021-07-23,cat05,scat05
1179,3486,Romero and Sons,Object-based client-server application,5200.00,3079.00,failed,60,US,USD,2020-10-01,2021-06-12,cat05,scat020
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,142400.00,21307.00,failed,296,US,USD,2020-05-05,2021-05-30,cat01,scat01
2869,2849,Hart-Briggs,Re-engineered user-facing approach,61400.00,73653.00,successful,676,US,USD,2021-03-17,2021-10-27,cat06,scat016
718,1612,Jones-Meyer,Re-engineered client-driven hub,4700.00,12635.00,successful,361,AU,AUD,2020-10-24,2021-04-12,cat03,scat03
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,3300.00,12437.00,successful,131,US,USD,2021-01-29,2021-02-13,cat01,scat01
2431,5288,Harper-Davis,Robust heuristic encoding,1900.00,13816.00,successful,126,US,USD,2021-07-02,2021-12-31,cat03,scat09
468,6026,Barrett PLC,Team-oriented clear-thinking capacity,166700.00,145382.00,failed,3304,IT,EUR,2021-03-20,2021-04-16,cat06,scat014
1862,2212,David-Clark,De-engineered motivating standardization,7200.00,6336.00,failed,73,US,USD,2021-09-02,2021-12-31,cat04,scat04
2300,4591,Chaney-Dennis,Business-focused 24hour groupware,4900.00,8523.00,successful,275,US,USD,2021-06-18,2021-12-31,cat05,scat020
449,2771,"Robinson, Lopez and Christensen",Organic next generation protocol,5400.00,6351.00,successful,67,US,USD,2020-10-07,2021-10-17,cat08,scat015
283,5682,Clark and Sons,Reverse-engineered full-range Internet solution,5000.00,10748.00,successful,154,US,USD,2021-07-27,2021-11-01,cat05,scat05
2484,5368,Vega Group,Synchronized regional synergy,75100.00,112272.00,successful,1782,US,USD,2021-04-15,2021-10-08,cat07,scat021
1490,3706,Brown-Brown,Multi-lateral homogeneous success,45300.00,99361.00,successful,903,US,USD,2020-06-21,2021-04-14,cat07,scat012
186,4034,Taylor PLC,Seamless zero-defect solution,136800.00,88055.00,failed,3387,US,USD,2020-05-21,2021-01-28,cat06,scat014
2999,3209,Edwards-Lewis,Enhanced scalable concept,177700.00,33092.00,failed,662,CA,CAD,2022-01-15,2022-02-03,cat04,scat04
2819,2384,"Stanton, Neal and Rodriguez",Polarized uniform software,2600.00,9562.00,successful,94,IT,EUR,2020-07-19,2021-02-28,cat08,scat015
2105,3074,Pratt LLC,Stand-alone web-enabled moderator,5300.00,8475.00,successful,180,US,USD,2020-05-10,2021-05-02,cat04,scat04
1324,2031,Gross PLC,Proactive methodical benchmark,180200.00,69617.00,failed,774,US,USD,2020-03-24,2021-03-11,cat04,scat04
1952,5873,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200.00,53067.00,failed,672,CA,CAD,2021-03-03,2021-06-16,cat04,scat04
2404,5501,Allen-Curtis,Phased human-resource core,70600.00,42596.00,canceled,532,US,USD,2020-09-13,2021-09-17,cat02,scat02
990,3489,Morgan-Martinez,Mandatory tertiary implementation,148500.00,4756.00,canceled,55,AU,AUD,2021-03-23,2021-12-06,cat01,scat01
1459,4210,"Luna, Anderson and Fox",Secured directional encryption,9600.00,14925.00,successful,533,DK,DKK,2020-10-10,2021-07-13,cat05,scat07
1106,6151,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700.00,166116.00,successful,2443,GB,GBP,2021-07-17,2022-01-18,cat03,scat03
1488,6047,Flowers and Sons,Virtual static core,3300.00,3834.00,successful,89,US,USD,2020-10-20,2021-11-02,cat04,scat04
2107,5445,Gates PLC,Secured content-based product,4500.00,13985.00,successful,159,US,USD,2020-07-09,2021-05-18,cat02,scat022
2660,5493,Caldwell LLC,Secured executive concept,99500.00,89288.00,failed,940,CH,CHF,2021-07-23,2021-07-28,cat05,scat05
2647,6036,"Le, Burton and Evans",Balanced zero-defect software,7700.00,5488.00,failed,117,US,USD,2020-12-25,2021-12-02,cat04,scat04
565,2368,Briggs PLC,Distributed context-sensitive flexibility,82800.00,2721.00,canceled,58,US,USD,2021-03-23,2021-04-14,cat05,scat07
2713,1501,Hudson-Nguyen,Down-sized disintermediate support,1800.00,4712.00,successful,50,US,USD,2020-04-07,2021-02-14,cat06,scat010
558,4351,Hogan Ltd,Stand-alone mission-critical moratorium,9600.00,9216.00,failed,115,US,USD,2021-05-10,2021-12-17,cat07,scat021
698,3096,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100.00,19246.00,failed,326,US,USD,2021-01-14,2021-07-07,cat03,scat09
321,6162,Bautista-Cross,Fully-configurable coherent Internet solution,5500.00,12274.00,successful,186,US,USD,2020-10-18,2021-05-05,cat05,scat05
1302,1433,Jackson LLC,Distributed motivating algorithm,64300.00,65323.00,successful,1071,US,USD,2020-05-07,2021-03-21,cat03,scat03
1410,2720,Figueroa Ltd,Expanded solution-oriented benchmark,5000.00,11502.00,successful,117,US,USD,2021-05-26,2021-11-24,cat03,scat03
2465,5251,Avila-Jones,Implemented discrete secured line,5400.00,7322.00,successful,70,US,USD,2020-12-03,2021-11-25,cat02,scat08
377,1797,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000.00,11619.00,successful,135,US,USD,2021-02-07,2021-04-20,cat04,scat04
1882,1656,Fields-Moore,Secured reciprocal array,25000.00,59128.00,successful,768,CH,CHF,2021-01-28,2021-11-21,cat03,scat09
822,1346,Harris-Golden,Optional bandwidth-monitored middleware,8800.00,1518.00,canceled,51,US,USD,2020-09-15,2021-02-01,cat04,scat04
2730,2989,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300.00,9337.00,successful,199,US,USD,2021-08-21,2021-11-15,cat04,scat04
2198,5629,"White, Larson and Wright",Upgradable hybrid capability,9300.00,11255.00,successful,107,US,USD,2020-04-19,2021-02-15,cat03,scat09
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.00,13632.00,successful,195,US,USD,2020-09-08,2021-04-16,cat02,scat08
2588,3229,"Brown, Palmer and Pace",Networked stable workforce,100.00,1.00,failed,1,US,USD,2021-01-21,2021-07-11,cat02,scat02
1090,2277,Parker LLC,Customizable intermediate extranet,137200.00,88037.00,failed,1467,US,USD,2021-12-02,2022-01-12,cat02,scat06
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.00,175573.00,successful,3376,US,USD,2020-11-13,2021-07-23,cat02,scat08
2171,3694,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400.00,176112.00,failed,5681,US,USD,2021-07-17,2021-11-12,cat04,scat04
625,2260,Rodriguez-Brown,Devolved foreground benchmark,171300.00,100650.00,failed,1059,US,USD,2021-01-29,2021-06-20,cat02,scat08
1065,5374,Hall-Schaefer,Distributed eco-centric methodology,139500.00,90706.00,failed,1194,US,USD,2021-05-23,2021-07-29,cat04,scat04
174,4420,Meza-Rogers,Streamlined encompassing encryption,36400.00,26914.00,canceled,379,AU,AUD,2020-11-24,2021-12-26,cat02,scat02
1344,3849,Curtis-Curtis,User-friendly reciprocal initiative,4200.00,2212.00,failed,30,AU,AUD,2021-04-20,2021-10-14,cat08,scat015
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation,2100.00,4640.00,successful,41,US,USD,2020-12-28,2021-11-24,cat02,scat02
940,5230,"Clarke, Anderson and Lee",Robust explicit hardware,191200.00,191222.00,successful,1821,US,USD,2021-05-22,2021-06-30,cat04,scat04
3024,1763,Evans Group,Stand-alone actuating support,8000.00,12985.00,successful,164,US,USD,2021-04-26,2021-07-14,cat03,scat09
2164,4323,Bruce Group,Cross-platform methodical process improvement,5500.00,4300.00,failed,75,US,USD,2021-02-01,2021-09-05,cat03,scat03
2427,5256,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100.00,9134.00,successful,157,CH,CHF,2021-09-05,2021-12-16,cat02,scat02
1548,4836,Burton-Watkins,Extended reciprocal circuit,3500.00,8864.00,successful,246,US,USD,2020-08-01,2021-08-15,cat08,scat015
2657,5981,Lopez and Sons,Polarized human-resource protocol,150500.00,150755.00,successful,1396,US,USD,2021-11-14,2021-11-24,cat04,scat04
2916,1463,Cordova Ltd,Synergized radical product,90400.00,110279.00,successful,2506,US,USD,2021-05-05,2021-08-08,cat03,scat03
1348,4577,Brown-Vang,Robust heuristic artificial intelligence,9800.00,13439.00,successful,244,US,USD,2021-01-11,2021-08-25,cat08,scat015
557,4951,Cruz-Ward,Robust content-based emulation,2600.00,10804.00,successful,146,AU,AUD,2021-04-01,2021-10-19,cat04,scat04
2915,3567,Hernandez Group,Ergonomic uniform open system,128100.00,40107.00,failed,955,DK,DKK,2020-05-16,2021-03-18,cat02,scat08
320,5475,"Tran, Steele and Wilson",Profit-focused modular product,23300.00,98811.00,successful,1267,US,USD,2020-07-10,2021-03-23,cat05,scat013
1458,2114,"Summers, Gallegos and Stein",Mandatory mobile product,188100.00,5528.00,failed,67,US,USD,2020-09-24,2021-07-27,cat02,scat08
379,5216,Blair Group,Public-key 3rdgeneration budgetary management,4900.00,521.00,failed,5,US,USD,2020-11-17,2021-11-23,cat06,scat019
1879,1665,Nixon Inc,Centralized national firmware,800.00,663.00,failed,26,US,USD,2020-09-04,2021-04-16,cat05,scat05
597,6051,White LLC,Cross-group 4thgeneration middleware,96700.00,157635.00,successful,1561,US,USD,2021-03-21,2021-10-17,cat04,scat04
1130,3983,"Santos, Black and Donovan",Pre-emptive scalable access,600.00,5368.00,successful,48,US,USD,2020-04-15,2021-02-08,cat03,scat09
2354,2966,"Jones, Contreras and Burnett",Sharable intangible migration,181200.00,47459.00,failed,1130,US,USD,2021-01-27,2021-12-16,cat04,scat04
1358,4478,Stone-Orozco,Proactive scalable Graphical User Interface,115000.00,86060.00,failed,782,US,USD,2021-01-06,2021-05-06,cat04,scat04
188,4238,"Lee, Gibson and Morgan",Digitized solution-oriented product,38800.00,161593.00,successful,2739,US,USD,2021-05-02,2021-08-26,cat04,scat04
2228,4404,Alexander-Williams,Triple-buffered cohesive structure,7200.00,6927.00,failed,210,US,USD,2021-04-17,2021-07-08,cat01,scat01
1743,5666,Marks Ltd,Realigned human-resource orchestration,44500.00,159185.00,successful,3537,CA,CAD,2020-09-14,2021-04-11,cat04,scat04
2563,3691,"Olsen, Edwards and Reid",Optional clear-thinking software,56000.00,172736.00,successful,2107,AU,AUD,2020-10-09,2021-06-06,cat03,scat09
2424,2703,"Daniels, Rose and Tyler",Centralized global approach,8600.00,5315.00,failed,136,US,USD,2021-03-17,2021-04-15,cat03,scat03
2369,4253,Adams Group,Reverse-engineered bandwidth-monitored contingency,27100.00,195750.00,successful,3318,DK,DKK,2021-03-09,2021-08-28,cat04,scat04
1134,5652,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100.00,3525.00,failed,86,CA,CAD,2020-04-16,2021-03-02,cat02,scat02
2241,3279,"Howard, Carter and Griffith",Adaptive asynchronous emulation,3600.00,10550.00,successful,340,US,USD,2021-07-13,2021-09-11,cat04,scat04
2745,3233,Bailey PLC,Innovative actuating conglomeration,1000.00,718.00,failed,19,US,USD,2020-04-28,2021-03-22,cat05,scat020
1055,3017,Parker Group,Grass-roots foreground policy,88800.00,28358.00,failed,886,US,USD,2021-02-10,2021-08-16,cat04,scat04
1215,3482,Fox Group,Horizontal transitional paradigm,60200.00,138384.00,successful,1442,CA,CAD,2020-06-12,2021-02-20,cat05,scat013
2036,2166,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,8200.00,2625.00,failed,35,IT,EUR,2021-06-18,2021-10-07,cat04,scat04
1191,4146,Anthony-Shaw,Switchable contextually-based access,191300.00,45004.00,canceled,441,US,USD,2021-01-30,2021-05-23,cat04,scat04
879,2651,Cook LLC,Up-sized dynamic throughput,3700.00,2538.00,failed,24,US,USD,2021-02-24,2021-09-04,cat04,scat04
3062,1409,Sutton PLC,Mandatory reciprocal superstructure,8400.00,3188.00,failed,86,IT,EUR,2020-07-25,2021-05-11,cat04,scat04
